"","Function","NStudies","NMeasures","PKU_NPpt","Control_NPpt","MeanCohensD","MeanHedgesG","SDHedgesG","AdjGlassDelta","SDAdjGlassDelta","CurrentPhe","Order"
"1","Flexibility",13,34,386,343,-0.459944150585156,-0.451120244686601,0.491303832733834,-0.611001240293538,0.677436771898315,943.433333333333,1
"2","Reasoning ",4,6,90,89,-0.720609567938845,-0.705309268909781,0.430988268854504,-1.56735590930803,1.64211718518836,832,2
"3","Inhibition",10,18,166,193,-0.19937231329324,-0.192056282073255,0.471342157610727,-0.267668239295504,0.631078948394165,897.151764705882,3
"4","Sustained attention",8,11,225,208,-0.781535257758405,-0.757066863632037,0.395974841000832,-1.00788159155829,0.71240101951197,960.727272727273,4
"5","Higher Language Skills",1,15,37,32,-0.299139630605392,-0.295179747821856,0.401207642831129,-0.431532530455319,0.500473676943165,746.866666666667,5
"6","Naming RT",3,7,54,60,-0.433719029494113,-0.428091469216771,0.362626204216816,-0.608956817164246,0.655516400309789,854.428571428571,6
"7","Language Accuracy",2,8,56,57,-0.114656370561107,-0.113183878058003,0.0894566536623673,-0.12843905158516,0.1332312983313,770.25,7
"8","Spelling",1,2,37,30,-0.0011455609141395,-0.0011322918688025,0.244932744144522,-0.0128146453089245,0.235594387507463,720,8
"9","Phonological Tasks",1,2,37,30,-0.319185523636074,-0.315488394018667,0.0397376919030445,-0.487210939984553,0.166588202467901,720,9
"10","Verbal STM/WM",7,11,291,247,-0.279048658579915,-0.276263700760911,0.360278834236509,-0.325220313855934,0.345943617353022,903.3,10
"11","Verbal learning LTM",7,15,262,201,-0.265830933983257,-0.259311969578012,0.38879768134306,-0.281718654336604,0.408000526734146,908.615384615385,11
"12","Visual STM",7,9,167,182,-0.5464320883149,-0.536034337844325,0.722222316132619,-0.625288154446231,0.785615871194546,837.125,12
"13","Visual learning LTM",7,9,146,135,-0.486502817679986,-0.477080109181635,0.288812955094089,-0.953845830898468,0.950401031529553,917.428571428571,13
"14","Visuo-spatial skills",5,11,103,129,-0.223922500188524,-0.220327809365496,0.200193051755061,-0.257419288474859,0.240748230507948,992.9,14
"15","Simple RT-Visuo-spatial",4,4,133,126,-0.221489913508283,-0.219310086829909,0.279066790329545,-0.741623092405284,1.51740791827779,965.75,15
"16","Visual spatial attention RT",4,10,138,121,-0.682287578557883,-0.672100603666677,0.171503760787941,-0.989914785735603,0.361356709484279,864.8,16
"17","Visuo-spatial attention acc",3,9,113,106,-0.0945728640987681,-0.0928118955452262,0.183252929246901,-0.155394014708331,0.292799060767456,812.888888888889,17
"18","Visuo motor control",6,16,235,191,-0.402751508963958,-0.399244197725973,0.411742063265716,-0.593419369537554,0.601275069710957,999.5,18
"19","Social Cognition",4,16,98,122,-0.426215018109775,-0.419096708512348,0.31370206937617,-0.435568564081369,0.310475861913402,761.5,19
"20","IQ",16,19,407,439,-0.603729482695916,-0.589758202926292,0.443667968206833,-0.638046561584837,0.490519955616128,958.266666666667,20
"21","Visaul detection speed",1,1,8,8,-0.962853650343889,-0.910334360325131,NA,-0.682068206820682,NA,870,NA
