"","Function","Phe","N","Order"
"1","Flexibility",943.433333333333,34,1
"2","Reasoning ",832,6,2
"3","Inhibition",897.151764705882,18,3
"4","Sustained attention",960.727272727273,11,4
"5","Higher Language Skills",746.866666666667,15,5
"6","Naming RT",854.428571428571,7,6
"7","Language Accuracy",770.25,8,7
"8","Spelling",720,2,8
"9","Phonological Tasks",720,2,9
"10","Verbal STM/WM",903.3,11,10
"11","Verbal learning LTM",908.615384615385,15,11
"12","Visual STM",837.125,9,12
"13","Visual learning LTM",917.428571428571,9,13
"14","Visuo-spatial skills",992.9,11,14
"15","Simple RT-Visuo-spatial",965.75,4,15
"16","Visual spatial attention RT",864.8,10,16
"17","Visuo-spatial attention acc",812.888888888889,9,17
"18","Visuo motor control",999.5,16,18
"19","Social Cognition",761.5,16,19
"20","IQ",958.266666666667,19,20
"21","Visaul detection speed",870,1,NA
