StudyName,StudyFactor,
Abgottspon et al. ,"Abgottspon et al., 2022",
Aitkenhead et al 2021,Aitkenhead et al 2021,
Bartus et al 2018,Bartus et al 2018,
Burgard et al 1997 - German,Burgard et al 1997 - German,
Channon et al 2004,Channon et al 2004,
Channon et al 2005,Channon et al 2005 on diet,
Channon et al 2005 on diet,Channon et al 2005 on diet,
Channon et al 2007,Channon et al 2007 off diet,
Channon et al 2007 off diet,Channon et al 2007 off diet,
Dawson et al 2011 - off diet,Dawson et al 2011 - off diet,
Dawson et al 2011 - on diet,Dawson et al 2011 - on diet,
De Felice et al 2018,Palermo et al 2017;2020;De Felice et al 2018,
Jahja et al 2016,Jahja et al 2016;2017,
Jahja et al 2017,Jahja et al 2016;2017,
Moyle et al 2006,Moyle et al 2006,
Moyle et al 2007,Moyle et al 2007,
Nardecchia et al 2015,Nardecchia et al 2015,
Palermo et al 2017,Palermo et al 2017;2020;De Felice et al 2018,
Palermo et al 2020,Palermo et al 2017;2020;De Felice et al 2018,
Pietz et al 1998,Pietz et al 1998,
Pilotto 2021,Pilotto et al 2021,
Pilotto et al 2021,Pilotto et al 2021,
Ris et al 1994,Ris et al 1994,
Romani et al 2020,Romani et al 2020,
Schmidt et al 1994,Schmidt et al 1994,
Smith et al 1996 - High Phe,Smith et al 1996 - High Phe,
Smith et al 1996 - Low Phe,Smith et al 1996 - Low Phe,
Sundermann et al 2020,Sundermann et al 2020,
Sundermann et al 2011 - Gr1,Sundermann et al 2011 - Gr1,
Sundermann et al 2011 - Gr2,Sundermann et al 2011 - Gr2,
Ulrich et al. 1996,Ulrich et al. 1996,
Weglage et al 2013,Weglage et al 2013,
