Function,StudyName,ShortTitle,FunctionGroup
Sustained attention,Jahja et al 2017,Dots task - N err,Sustained attention
Sustained attention,Jahja et al 2017,Dots task - Series time,Sustained attention
Sustained attention,Palermo et al 2017,Rapid Visual Processing - % err,Sustained attention
Sustained attention,Romani et al 2020,Rapid Visual Processing - % err,Sustained attention
Sustained attention,Schmidt et al 1994,Dot pattern exercise t1 - N err,Sustained attention
Sustained attention,Weglage et al 2013,D2 Test - N correct; baseline,Sustained attention
,,,
,,,
Reasoning ,Channon et al 2004,Brixton scaled - Score,Reasoning 
Reasoning ,Channon et al 2004,Six elements - Rules per minute,Reasoning 
Reasoning ,Nardecchia et al 2015,Tower of London - Score,Reasoning 
Reasoning ,Nardecchia et al 2015,Elithorns - N solved trials,Reasoning 
Reasoning ,Palermo et al 2017,Tower of Hanoi - % of unsolved trials ,Reasoning 
Reasoning ,Pilotto et al 2021,Tower of London - Score,Reasoning 
,,,
,,,
Flexibility,Aitkenhead et al 2021,Letter fluency,Flexibility
Flexibility,Aitkenhead et al 2021,Semantic fluency,Flexibility
Flexibility,Aitkenhead et al 2021,DKefs Card Sorting,Flexibility
Flexibility,Aitkenhead et al 2021,Digit/symbol coding,Flexibility
Flexibility,Channon et al 2004,Letter fluency,Flexibility
Flexibility,Channon et al 2005,Object Alternation-% correct,Flexibility
Flexibility,Channon et al 2007,Object Alternation-% correct,Flexibility
Flexibility,Moyle et al 2007,Letter fluency,Flexibility
Flexibility,Moyle et al 2007,Semantic fluency,Flexibility
Flexibility,Nardecchia et al 2015,WCST- N perseverations,Flexibility
Flexibility,Palermo et al 2017,Digit/symbol - % err,Flexibility
Flexibility,Palermo et al 2017,Letter fluency ,Flexibility
Flexibility,Palermo et al 2017,Semantic fluency ,Flexibility
Flexibility,Palermo et al 2017,WCST- N categories - correct,Flexibility
Flexibility,Palermo et al 2017,WCST- N perseverations,Flexibility
Flexibility,Pilotto et al 2021,Letter fluency,Flexibility
Flexibility,Pilotto et al 2021,Semantic fluency,Flexibility
Flexibility,Ris et al 1994,WCST- N perseverations,Flexibility
Flexibility,Romani et al 2020,Digit/symbol - % err,Flexibility
Flexibility,Romani et al 2020,Letter fluency ,Flexibility
Flexibility,Romani et al 2020,Semantic fluency ,Flexibility
Flexibility,Romani et al 2020,WCST- N categories - correct,Flexibility
Flexibility,Romani et al 2020,WCST- N perseverations,Flexibility
Flexibility,Smith et al 1996 - High Phe,WCST- N categories-correct,Flexibility
Flexibility,Smith et al 1996 - High Phe,WCST- N perseverations,Flexibility
Flexibility,Smith et al 1996 - Low Phe,WCST- N categories-correct,Flexibility
Flexibility,Smith et al 1996 - Low Phe,WCST- N perseverations,Flexibility
,,,
,,,
Inhibition,Channon et al 2004,Hayling Sentence Completion B - cor/sec.,Inhibition
Inhibition,Channon et al 2005 on diet,"Flanker Task, on diet, Comp-inc-N correct",Inhibition
Inhibition,De Felice et al 2018,Hayling Sentence Completion B-N err,Inhibition
Inhibition,Moyle et al 2007,Go-No go false alarms ,Inhibition
Inhibition,Palermo et al 2017,"Stroop, Incongruous-congruous - % err",Inhibition
Inhibition,Palermo et al 2017,Continuous Naming - 5th-1st pos-% err,Inhibition
Inhibition,Sundermann et al 2020,Go-No go Err,Inhibition
Inhibition,Ulrich et al. 1996,Colour Word Interference Task,Inhibition
,,,
,,,
,,,
Language Accuracy,De Felice et al 2018,Block Cyclic Naming 1st cycle - % err,Language Accuracy
Language Accuracy,De Felice et al 2018,Verbal Narrative - % err,Language Accuracy
Language Accuracy,Palermo et al 2017,Continuous Picture Naming - % err,Language Accuracy
Language Accuracy,Palermo et al 2017,Colour Naming - % err,Language Accuracy
Language Accuracy,Palermo et al 2017,Word Reading - % err,Language Accuracy
Language Accuracy,Palermo et al 2017,Non-word reading - % err,Language Accuracy
Language Accuracy,Pilotto et al 2021,Token test,Language Accuracy
Language Accuracy,Pilotto et al 2021,Boston Naming,Language Accuracy
,,,
,,,
Spelling,Palermo et al 2017,Word Spelling - % err,Spelling
Spelling,Palermo et al 2017,Non-Word Spelling - % err,Spelling
,,,
,,,
,,,
Higher Language Skills,De Felice et al 2018,Verbal Narrative - Mean utterance length,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Verbal Narrative - Main concepts - % cor,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Verbal Narrative - % cor info units ,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Emotional Prosody - N err,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Non Emotional Prosody - N err,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Conflicting Prosody - N err,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Metaphor Picture  - N err,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Appreciation of Humour-N err,Higher Language Skills
Higher Language Skills,De Felice et al 2018,Inferred meaning - N err,Higher Language Skills
Higher Language Skills,Palermo et al 2017,WASI Vocabulary - N cor,Higher Language Skills
Higher Language Skills,Palermo et al 2017,WASI Similarities - N cor,Higher Language Skills
