Function,StudyName,ShortTitle,FunctionGroup
Naming RT,De Felice et al 2018,Block Cyclic Naming-RT,NameRT
Naming RT,Palermo et al 2017,Continuous Picture Naming-RT ,NameRT
Naming RT,Palermo et al 2017,Colour Naming-RT,NameRT
Naming RT,Palermo et al 2017,Word Reading-RT,NameRT
Naming RT,Palermo et al 2017,Non-word reading-RT,NameRT
Naming RT,Sundermann et al 2011 - Gr1,Stroop: neutral condition-RT,NameRT
Naming RT,Sundermann et al 2011 - Gr2,Stroop: neutral condition-RT,NameRT
Visual spatial attention RT,Jahja et al 2017,Memory search-low load-RT,VisuoSpatialRT
Visual spatial attention RT,Jahja et al 2017,Memory search-high load-RT,VisuoSpatialRT
Visual spatial attention RT,Palermo et al 2017,Choice detection - RT,VisuoSpatialRT
Visual spatial attention RT,Palermo et al 2017,Detection w/distractors - RT,VisuoSpatialRT
Visual spatial attention RT,Palermo et al 2017,Feature search - RT,VisuoSpatialRT
Visual spatial attention RT,Palermo et al 2017,Conjoined search - RT,VisuoSpatialRT
Visual spatial attention RT,Ris et al 1994,ADM visual search - RT,VisuoSpatialRT
Visual spatial attention RT,Romani et al 2020,Detection w/distractors - RT,VisuoSpatialRT
Visual spatial attention RT,Romani et al 2020,Feature search - RT,VisuoSpatialRT
Visual spatial attention RT,Romani et al 2020,Conjoined search - RT,VisuoSpatialRT
